condition,episode,step,return,cost,true_cost,exposed_cost,steps,violated
safedreamer_clean,0,1005,-0.0676039295758528,0.0,0.0,0.0,200,0
safedreamer_clean,1,2010,25.61359983496368,0.0,0.0,0.0,200,0
safedreamer_clean,2,3015,27.61485629150411,0.0,0.0,0.0,200,0
safedreamer_clean,3,4020,3.0610352635922027,0.0,0.0,0.0,200,0
safedreamer_hazard_blind,0,1005,4.6877588495772216,17.0,17.0,17.0,200,1
safedreamer_hazard_blind,1,2010,-2.249925263502518,89.0,89.0,89.0,200,1
safedreamer_hazard_blind,2,3015,9.143449577735735,52.0,52.0,52.0,200,1
safedreamer_hazard_blind,3,4020,6.710413134947885,43.0,43.0,43.0,200,1
safedreamer_lidar_blind,0,1005,11.702251806855202,204.0,204.0,204.0,200,1
safedreamer_lidar_blind,1,2010,10.14062188553362,113.0,113.0,113.0,200,1
safedreamer_lidar_blind,2,3015,12.873208067641826,22.0,22.0,22.0,200,1
safedreamer_lidar_blind,3,4020,12.14088726544287,39.0,39.0,39.0,200,1
safedreamer_obs_noise_0.1,0,1005,-0.2445096101728268,0.0,0.0,0.0,200,0
safedreamer_obs_noise_0.1,1,2010,17.17106679212884,0.0,0.0,0.0,200,0
safedreamer_obs_noise_0.1,2,3015,19.28888836706756,0.0,0.0,0.0,200,0
safedreamer_obs_noise_0.1,3,4020,0.8655130389379337,0.0,0.0,0.0,200,0
safedreamer_obs_delay_2,0,1005,-0.2694344955962151,0.0,0.0,0.0,200,0
safedreamer_obs_delay_2,1,2010,19.069349785349917,41.0,41.0,41.0,200,1
safedreamer_obs_delay_2,2,3015,9.687252349889604,0.0,0.0,0.0,200,0
safedreamer_obs_delay_2,3,4020,20.139775797491893,14.0,14.0,14.0,200,1
safedreamer_cost_under,0,1005,-0.0676039295758528,0.0,0.0,0.0,200,0
safedreamer_cost_under,1,2010,25.61359983496368,0.0,0.0,0.0,200,0
safedreamer_cost_under,2,3015,27.61485629150411,0.0,0.0,0.0,200,0
safedreamer_cost_under,3,4020,3.0610352635922027,0.0,0.0,0.0,200,0
safedreamer_action_noise_0.1,0,1005,-0.085390835229191,0.0,0.0,0.0,200,0
safedreamer_action_delay_2,0,1005,-0.693467050237814,0.0,0.0,0.0,200,0
